game_id,Year,player_id,position ,player,team,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,comb_pass_play,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,rec_air_yds,rec_yac,rec_drops,offense,off_pct
202001040htx,2020,SmitLe00,TE,Lee Smith,BUF,1,1,8,0,8,0,0,0,0,0,0,0,0,1.8,1.8,1.3,1.3,1.3,1.3,1,7,0,25,29
202001040htx,2020,KrofTy00,TE,Tyler Kroft,BUF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,20,24
202001040htx,2020,FellDa01,TE,Darren Fells,HOU,5,4,37,0,14,0,0,0,0,0,0,0,0,7.7,7.7,5.7,5.7,5.7,5.7,32,15,1,66,96
202001040htx,2020,KnoxDa00,TE,Dawson Knox,BUF,2,1,14,0,14,0,0,0,0,0,0,0,0,2.4,2.4,1.9,1.9,1.9,1.9,12,7,0,59,69
202001040htx,2020,ThomJo05,TE,Jordan Thomas,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
202001040nwe,2020,FirkAn00,TE,Anthony Firkser,TEN,3,2,23,1,12,0,0,0,0,0,0,0,0,10.3,10.3,9.3,9.3,9.3,9.3,39,0,0,14,23
202001040nwe,2020,SmitJo01,TE,Jonnu Smith,TEN,2,1,9,0,9,0,0,0,0,0,0,0,0,1.9,1.9,1.4,1.4,1.4,1.4,24,9,0,53,87
202001040nwe,2020,PruiMy00,TE,MyCole Pruitt,TEN,2,2,4,0,4,0,0,0,0,0,0,0,0,2.4,2.4,1.4,1.4,1.4,1.4,4,0,0,38,62
202001040nwe,2020,LaCoMa00,TE,Matt LaCosse,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,54
202001040nwe,2020,WatsBe00,TE,Ben Watson,NWE,4,3,38,0,21,0,0,0,0,0,0,0,0,6.8,6.8,5.3,5.3,5.3,5.3,38,6,1,27,44
202001050nor,2020,RudoKy00,TE,Kyle Rudolph,MIN,7,4,31,1,13,0,0,0,0,0,0,0,0,13.1,13.1,11.1,11.1,11.1,11.1,46.2,19,0,72,92
202001050nor,2020,CookJa02,TE,Jared Cook,NOR,5,5,54,0,14,0,0,0,0,0,0,0,0,10.4,10.4,7.9,7.9,7.9,7.9,33,21,0,33,59
202001050nor,2020,HillJo02,TE,Josh Hill,NOR,3,2,3,0,2,0,0,0,0,0,0,0,0,2.3,2.3,1.3,1.3,1.3,1.3,3,0,0,27,48
202001050nor,2020,ConkTy00,TE,Tyler Conklin,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,21
202001050nor,2020,SmitIr01,TE,Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,55
202001050phi,2020,GoedDa00,TE,Dallas Goedert,PHI,8,7,73,0,17,0,0,0,0,0,0,0,0,14.3,14.3,10.8,10.8,10.8,10.8,63.2,17,0,62,97
202001050phi,2020,HollJa03,TE,Jacob Hollister,SEA,4,2,16,0,9,0,0,0,0,0,0,0,0,3.6,3.6,2.6,2.6,2.6,2.6,18,12,0,53,88
202001050phi,2020,WillLu00,TE,Luke Willson,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38
202001050phi,2020,PerkJo02,TE,Joshua Perkins,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27
202001050phi,2020,RodgRi00,TE,Richard Rodgers,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
202001050phi,2020,ErtzZa00,TE,Zach Ertz,PHI,4,2,44,0,32,0,0,0,0,0,0,0,0,6.4,6.4,5.4,5.4,5.4,5.4,50,16,0,56,88
202001110rav,2020,FirkAn00,TE,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21
